Supplementary Table 3B. Differentially methylated probes between HF2927 CSCs and SDCs.,,,,
gene,feat.cgi,csc_AVG,sdc_AVG,adj.P.Val
,IGR-shore,0.23919754,0.095356124,0.01745544
SYNM,TSS200-island,0.101011149,0.216152267,0.01745544
ALDH1A2,3'UTR-opensea,0.549300174,0.424125732,0.01745544
,IGR-opensea,0.546314049,0.690001473,0.01745544
,IGR-opensea,0.855150472,0.777543835,0.01745544
DCLK2,Body-shore,0.814493429,0.878950755,0.01745544
MSI2,Body-opensea,0.766741591,0.884667065,0.01745544
SLC8A1,TSS1500-opensea,0.380822138,0.203660771,0.01745544
CPNE4,TSS1500-shore,0.726929258,0.606228465,0.01745544
,IGR-shelf,0.447171182,0.306905415,0.01745544
,IGR-opensea,0.439418151,0.374516757,0.01745544
AHSA2,TSS1500-shore,0.422062936,0.594087044,0.01745544
,IGR-shelf,0.541508415,0.40779109,0.017559927
,IGR-opensea,0.188669523,0.103353722,0.017736796
NEK1,Body-opensea,0.855967238,0.675573874,0.017736796
SYNM,1stExon-island,0.304899608,0.485216335,0.017736796
,IGR-shelf,0.63637497,0.545567011,0.018151275
,IGR-opensea,0.150965858,0.253520371,0.018151275
,IGR-opensea,0.165662622,0.069118875,0.018151275
TPSD1,Body-shore,0.615823815,0.484062923,0.018151275
C6orf10,Body-opensea,0.355080653,0.159229732,0.018151275
,IGR-island,0.118964181,0.199679802,0.018151275
,IGR-island,0.262910075,0.341946596,0.018151275
CRCT1,5'UTR-shore,0.791107638,0.703333031,0.018151275
RAMP1,TSS200-shore,0.221469074,0.318877338,0.018151275
,IGR-island,0.435398944,0.220961544,0.018151275
,IGR-opensea,0.483093631,0.562351806,0.018151275
SVIP,Body-island,0.289324115,0.412038438,0.018151275
SPEF1,TSS1500-shelf,0.275121941,0.430438861,0.018151275
,IGR-opensea,0.461767113,0.3377935,0.018151275
,IGR-shore,0.156686062,0.250724925,0.018151275
UNC5A,Body-shore,0.705667694,0.574749596,0.018151275
BMPR1A,5'UTR-opensea,0.141382841,0.042837485,0.018208706
,IGR-shelf,0.276439199,0.168291421,0.018208706
ARPP-21,3'UTR-opensea,0.495196051,0.280824924,0.018208706
,IGR-opensea,0.818863281,0.652864159,0.018208706
,IGR-island,0.745958125,0.624412819,0.018208706
BSDC1,Body-opensea,0.864919427,0.727078193,0.018208706
OLFM1,Body-shore,0.635146615,0.522895106,0.018208706
,IGR-shelf,0.854774678,0.76273057,0.018208706
ALPI,Body-shore,0.761518389,0.675580683,0.018208706
ADARB2,Body-shelf,0.473161373,0.3195635,0.018208706
LAMA2,TSS1500-opensea,0.597418809,0.398658332,0.018208706
ATP8A2,Body-opensea,0.117801369,0.219392322,0.018208706
,IGR-shelf,0.669494245,0.564830153,0.018208706
ZNF311,5'UTR-opensea,0.843491769,0.771104403,0.018208706
,IGR-opensea,0.732931232,0.560031113,0.018208706
,IGR-shore,0.524532558,0.600988027,0.018313367
,IGR-opensea,0.73588026,0.548235351,0.018313367
,IGR-opensea,0.643479488,0.535078958,0.018313367
LOC100130274,TSS1500-island,0.678697809,0.572568065,0.018313367
C12orf39,TSS1500-shelf,0.704561931,0.619990896,0.018313367
BDKRB2,5'UTR-opensea,0.293102195,0.405095155,0.018313367
,IGR-opensea,0.755710707,0.633726569,0.018313367
HNF4A,TSS1500-opensea,0.586241983,0.479597666,0.018313367
,IGR-shore,0.699763317,0.586301603,0.018313367
PLD5,5'UTR-island,0.360787976,0.511543098,0.018313367
,IGR-shore,0.514435209,0.430044265,0.018313367
EMID2,Body-opensea,0.857280291,0.757964535,0.018313367
GPR27,1stExon-island,0.337164151,0.440353749,0.018313367
VAC14,Body-opensea,0.622418209,0.849149978,0.018313367
SYCN,Body-island,0.433737208,0.310374859,0.018313367
,IGR-island,0.174985041,0.313187196,0.018313367
PDE6B,Body-shelf,0.616829745,0.511911973,0.018313367
PTPRN2,Body-island,0.763550954,0.686607885,0.018313367
LOC388796,Body-opensea,0.625760804,0.745739083,0.018313367
,IGR-shelf,0.695666209,0.494633041,0.018313367
GBP5,Body-opensea,0.178255595,0.283825082,0.018313367
NCOA4,Body-opensea,0.098214118,0.036949613,0.018313367
ADAMTS17,Body-shore,0.090588452,0.187715752,0.018313367
EPM2AIP1,1stExon-shore,0.77759065,0.862087941,0.018313367
NOS2,Body-shore,0.334674782,0.168611889,0.018313367
PRR16,5'UTR-shore,0.911691217,0.816208342,0.018313367
ANTXR2,Body-island,0.534476212,0.797614759,0.018313367
,IGR-opensea,0.386421316,0.205839009,0.018313367
TRIM31,Body-opensea,0.343960267,0.265645859,0.018313367
,IGR-opensea,0.567307296,0.461434572,0.018313367
OR2B3,TSS1500-opensea,0.169769825,0.059580338,0.018313367
OCIAD1,TSS1500-island,0.103039467,0.248467188,0.018313367
CYP7B1,1stExon-island,0.176570943,0.251164832,0.018313367
,IGR-island,0.784369381,0.631617441,0.018313367
,IGR-island,0.183459082,0.278325755,0.018313367
AFF3,TSS1500-shore,0.792609175,0.702644537,0.018313367
,IGR-opensea,0.674931263,0.536684177,0.018313367
,IGR-opensea,0.492686273,0.280312717,0.018313367
SHOC2,5'UTR-shelf,0.787461444,0.869825299,0.018313367
,IGR-shore,0.27286764,0.383684904,0.018313367
SLC5A4,TSS1500-opensea,0.50566954,0.417880428,0.018313367
,IGR-shelf,0.752420095,0.618642814,0.018313367
BRSK2,Body-opensea,0.291599346,0.392064491,0.018313367
,IGR-opensea,0.791446962,0.679314807,0.018313367
DLGAP2,Body-shore,0.232968024,0.361593345,0.018313367
,IGR-opensea,0.895498559,0.786479901,0.018313367
,IGR-opensea,0.736314204,0.601113285,0.018313367
ARHGEF16,5'UTR-opensea,0.736527252,0.61769735,0.018313367
,IGR-opensea,0.694151201,0.539099954,0.018313367
,IGR-opensea,0.864462444,0.92998174,0.018313367
ZNF509,5'UTR-shore,0.54504722,0.442115057,0.018313367
PRRX2,Body-shore,0.658829691,0.563222124,0.018313367
MCOLN2,3'UTR-opensea,0.692371666,0.483033159,0.018313367
,IGR-shore,0.631533193,0.506249228,0.018313367
,IGR-opensea,0.11884592,0.049356069,0.018313367
PICALM,Body-opensea,0.094830991,0.025434329,0.018313367
,IGR-opensea,0.601259171,0.419732614,0.018322248
,IGR-opensea,0.262705524,0.330555289,0.018322248
