Supplementary Table 3A. Differentially methylated probes between HF2303 CSCs and SDCs.,,,,
gene,feat.cgi,CSC_AVG,SDC_AVG,adj.P.Val
FABP5L3,TSS1500-opensea,0.068809517,0.009725937,0.136958402
ULK1,1stExon-island,0.08828214,0.015696904,0.136958402
,IGR-opensea,0.798193793,0.667272942,0.136958402
,IGR-shelf,0.654935097,0.707368582,0.136958402
TRAPPC9,Body-opensea,0.660560405,0.706042784,0.136958402
PCSK6,3'UTR-opensea,0.636338302,0.568018056,0.136958402
LBX2,1stExon-island,0.109022248,0.003167199,0.136958402
,IGR-opensea,0.917523658,0.8627928,0.136958402
ABR,Body-opensea,0.72086218,0.837610012,0.136958402
CTHRC1,5'UTR-island,1.010298324,0.958977401,0.136958402
,IGR-shore,0.668340812,0.542446502,0.136958402
CRH,1stExon-shore,0.154495332,0.259833497,0.136958402
,IGR-opensea,0.18684808,0.122533786,0.136958402
SDC3,TSS1500-island,0.069614363,0.012370004,0.136958402
NAV2,5'UTR-island,0.07123677,0.013866127,0.136958402
,IGR-opensea,0.821796436,0.761956244,0.136958402
,IGR-opensea,0.846463199,0.930447807,0.136958402
,IGR-island,0.812490215,0.885257222,0.136958402
CNBP,1stExon-island,0.072395665,0.014157886,0.136958402
,IGR-island,0.322421075,0.154314123,0.136958402
GRAMD3,Body-opensea,0.716622816,0.763194182,0.136958402
ESRRG,5'UTR-opensea,0.179240598,0.042261819,0.136958402
PPP2R5B,1stExon-island,0.096027863,0.008920981,0.136958402
SDCBP,5'UTR-shore,0.189520862,0.276471196,0.136958402
CDK5RAP1,Body-opensea,0.744063351,0.661253077,0.136958402
,IGR-island,0.617796125,0.5614582,0.136958402
ZNF683,Body-shore,0.826388907,0.76358149,0.136958402
UBE3C,5'UTR-island,0.078041484,0.031272231,0.136958402
LOC283731,Body-island,0.593741111,0.524437458,0.136958402
POLG,Body-island,0.742432468,0.796679787,0.136958402
C7orf20,Body-shelf,0.725683897,0.771523922,0.136958402
ZFPM1,Body-island,0.06367538,0.016920121,0.136958402
MCF2L,Body-shore,0.123703721,0.039697738,0.136958402
MCOLN1,Body-island,0.092342081,0.010343796,0.136958402
NCF4,TSS200-opensea,0.755623975,0.680576787,0.136958402
NBEAL2,Body-opensea,0.839764173,0.908209693,0.136958402
RPRD1B,1stExon-island,0.127650681,0.042043701,0.136958402
,IGR-shore,0.777506235,0.724755406,0.136958402
TSSK3,1stExon-island,0.088306747,0.015711531,0.136958402
PAX9,TSS1500-island,0.838644004,0.892812601,0.136958402
GLYR1,TSS1500-island,0.058020942,0.005179306,0.136958402
,IGR-opensea,0.749220688,0.803429154,0.136958402
ARID1B,Body-island,0.092365004,0.022965114,0.136958402
CHRNA5,TSS1500-shore,0.283605742,0.350290751,0.136958402
SNX6,5'UTR-island,0.048027403,0.004340906,0.136958402
PTPRN2,Body-shore,0.751322053,0.658897145,0.136958402
,IGR-shelf,0.77996331,0.735815039,0.136958402
,IGR-opensea,0.317539728,0.496700512,0.136958402
,IGR-shore,0.070524235,0.014991175,0.136958402
SKI,TSS1500-island,0.050450936,0.007295418,0.136958402
CDNF,TSS200-island,0.072044353,0.015438173,0.136958402
SNUPN,5'UTR-island,0.064670876,0.000433725,0.136958402
ATAD3C,Body-shore,0.603322955,0.547500891,0.136958402
ELAVL3,TSS1500-island,0.065380238,0.019303928,0.136958402
OSR2,5'UTR-island,0.098912523,0.027282978,0.136958402
,IGR-island,1.013604924,0.944429499,0.136958402
,IGR-island,0.089091822,0.148239756,0.136958402
NAV1,Body-opensea,0.864852647,0.944848414,0.136958402
PEMT,1stExon-island,0.050608117,0.00712784,0.136958402
,IGR-opensea,0.899351031,0.822259162,0.136958402
HEG1,TSS200-island,0.104877478,0.021829885,0.136958402
GRK1,1stExon-opensea,0.942069793,0.883124621,0.136958402
,IGR-opensea,0.53944266,0.645929351,0.136958402
DOCK6,Body-island,0.10862768,0.056951111,0.136958402
TPCN1,5'UTR-shore,0.118507523,0.050348101,0.136958402
,IGR-opensea,0.610286962,0.540781344,0.136958402
MGMT,Body-opensea,0.835612967,0.927690874,0.136958402
IL6,TSS1500-opensea,0.72322372,0.668332257,0.136958402
NANOS1,1stExon-opensea,0.096105324,0.039527511,0.136958402
KCTD21,TSS200-island,0.052931191,0.00719144,0.136958402
MIR17HG,Body-island,0.099112009,0.028076947,0.136958402
,IGR-opensea,0.709094153,0.636713069,0.136958402
UCN2,TSS200-opensea,0.328384939,0.264794041,0.136958402
TSKU,TSS1500-shore,0.511487547,0.425423502,0.136958402
LOC285550,TSS200-island,0.077860237,0.018352595,0.136958402
SAR1B,TSS1500-shore,0.721229527,0.793240407,0.136958402
CD47,TSS1500-island,0.983456861,0.920003204,0.136958402
ZNF503,Body-island,1.005165833,0.957620931,0.136958402
C9orf44,TSS1500-shore,0.086458247,0.027120554,0.136958402
SLCO6A1,TSS200-shore,0.345594168,0.294584811,0.136958402
,IGR-shore,0.216397899,0.32227389,0.136958402
ARHGAP20,5'UTR-island,0.046335407,0.003300142,0.136958402
PROKR1,Body-shelf,0.432983096,0.54047766,0.136958402
RNF208,TSS1500-island,0.101342591,0.012359951,0.136958402
,IGR-opensea,0.704872879,0.596172969,0.136958402
USP49,5'UTR-opensea,0.796348304,0.865933215,0.136958402
DGKZ,TSS200-island,0.099289856,-0.004440601,0.136958402
UBB,5'UTR-island,0.117410581,-0.006972053,0.136958402
MAML2,Body-opensea,0.220457276,0.362425099,0.136958402
KIAA1026,Body-opensea,0.128478863,0.06784389,0.136958402
C2orf52,TSS1500-island,0.111671398,0.035974193,0.136958402
HSPB6,Body-island,0.123070576,0.007968963,0.136958402
CDH22,Body-island,0.667593494,0.615382962,0.136958402
GALNTL2,Body-opensea,0.102921785,0.154243293,0.136958402
ATRNL1,5'UTR-island,0.059697677,0.012869743,0.136958402
DHRS3,5'UTR-island,0.121488695,0.019798331,0.136958402
CTHRC1,TSS200-island,1.004142765,0.945529089,0.136958402
FZD6,5'UTR-island,0.06792584,0.025796513,0.136958402
,IGR-opensea,0.13949946,0.249592203,0.136958402
KIAA1949,Body-opensea,0.071491468,0.011114736,0.136958402
CALHM2,TSS200-island,0.110922553,0.032372488,0.136958402
EEF1A2,Body-island,0.095227748,0.045502622,0.136958402
OSR1,3'UTR-island,0.098547531,0.017422094,0.136958402
C1orf229,1stExon-island,0.052918205,0.00286041,0.136958402
TMEM93,TSS200-island,0.092214182,0.012929775,0.136958402
PIK3AP1,3'UTR-opensea,0.831958177,0.889984581,0.136958402
HIC1,TSS1500-island,0.071841358,0.014063343,0.136958402
DHDDS,3'UTR-shore,0.984171598,0.931262325,0.136958402
,IGR-shore,0.74186392,0.802917609,0.136958402
KCNH1,5'UTR-island,0.731096956,0.661964718,0.136958402
PAX5,Body-island,0.061811133,0.013598224,0.136958402
BCS1L,Body-shelf,0.691517777,0.620771136,0.136958402
PPFIA2,TSS200-shore,0.06885374,0.006221646,0.136958402
GPRC5C,Body-shelf,0.946648316,0.8886757,0.136958402
,IGR-island,0.095072294,0.013556034,0.136958402
FBXO17,5'UTR-shelf,0.76832764,0.821364397,0.136958402
LOC100302652,TSS200-island,0.07955711,-0.000589276,0.136958402
C10orf55,TSS1500-opensea,0.819186055,0.89227986,0.136958402
CUTA,3'UTR-shore,0.901646276,0.850273965,0.136958402
C19orf35,TSS200-shelf,0.17491323,0.266599493,0.136958402
,IGR-shore,0.642935908,0.515692155,0.136958402
,IGR-shore,0.732239139,0.639650061,0.136958402
LPHN2,5'UTR-island,0.110324722,0.043891206,0.136958402
FOXQ1,TSS200-island,0.107436571,-0.003323551,0.136958402
KL,TSS1500-island,0.087340333,0.008085288,0.136958402
,IGR-shelf,0.990274976,0.934881177,0.136958402
,IGR-island,0.237020524,0.084604765,0.136958402
SYN2,TSS1500-shore,0.17558788,0.021934259,0.136958402
HCN1,Body-opensea,0.971878905,0.894558178,0.136958402
RAB40B,TSS200-island,0.077269148,0.029197776,0.136958402
DDX20,Body-shore,0.74179873,0.830098427,0.136958402
SERPINB1,5'UTR-shore,0.079493692,0.034308917,0.136958402
,IGR-island,0.775051197,0.723983701,0.136958402
,IGR-island,0.823254044,0.877353275,0.136958402
RDBP,Body-opensea,0.713878635,0.772084017,0.136958402
NUMA1,Body-opensea,0.873337014,0.827625656,0.136958402
SUFU,Body-opensea,0.527087073,0.620998554,0.136958402
C16orf5,5'UTR-island,0.101455866,0.057109532,0.136958402
MOSC2,TSS1500-shore,0.100964375,0.045696586,0.136958402
,IGR-opensea,0.534077164,0.722564902,0.136958402
KDM5A,TSS200-island,0.085756511,0.030386784,0.136958402
ALS2CL,TSS1500-island,0.147899983,0.015958246,0.136958402
FBLN1,Body-opensea,0.902782079,0.853326335,0.136958402
,IGR-island,0.176164797,0.032224478,0.136958402
ADAMTS12,Body-opensea,0.516537205,0.45178825,0.136958402
IQSEC3,Body-shore,0.60422196,0.550815695,0.136958402
TET3,TSS1500-opensea,0.814478592,0.910939253,0.136958402
KRT37,1stExon-opensea,0.784535699,0.706618427,0.136958402
GBE1,TSS1500-shore,0.818228012,0.882511763,0.136958402
,IGR-island,0.089704675,0.038569568,0.136958402
ECHDC3,1stExon-island,0.776644952,0.860906882,0.136958402
RIPK4,Body-shelf,0.807551663,0.764344275,0.136958402
ZNF256,TSS200-island,0.063564154,0.003591013,0.136958402
AJAP1,Body-island,0.101305722,0.054904803,0.136958402
PKIG,3'UTR-opensea,0.717265133,0.762390334,0.136958402
CIB3,Body-opensea,0.86817928,0.825151719,0.136958402
RASGEF1A,5'UTR-opensea,0.876374984,0.818745133,0.136958402
TLX3,TSS1500-shore,0.848414685,0.904733792,0.136958402
EGFR,TSS1500-island,0.061741109,0.008198135,0.136958402
ST3GAL1,5'UTR-opensea,0.82983961,0.928815362,0.136958402
,IGR-opensea,0.803297703,0.729353779,0.136958402
PRRT1,3'UTR-island,0.838097886,0.901849941,0.136958402
AGAP1,Body-island,0.071364537,0.016703519,0.136958402
PIGZ,TSS1500-island,0.084278554,0.014853645,0.136958402
POU4F1,5'UTR-island,0.072022379,0.006841403,0.136958402
RUNX2,Body-opensea,0.880507682,0.945940002,0.136958402
,IGR-shelf,0.685881641,0.623605372,0.136958402
LRRC37A3,TSS1500-island,0.048155394,0.004068797,0.136958402
DNMT3A,5'UTR-shore,0.068096199,0.01434445,0.136958402
KIF16B,Body-shore,0.711196971,0.775470985,0.136958402
,IGR-shelf,0.653665408,0.752832006,0.136958402
GJC1,5'UTR-opensea,0.543128002,0.633486126,0.136958402
ARAP1,Body-shelf,0.373264809,0.303881114,0.136958402
EPHX3,TSS200-shore,0.863287553,0.916578527,0.136958402
,IGR-opensea,0.792900072,0.853824068,0.136958402
C7orf34,TSS200-opensea,0.549012472,0.5014415,0.136958402
CNKSR1,Body-opensea,0.805917365,0.758984269,0.136958402
,IGR-island,0.370159402,0.436088295,0.136958402
,IGR-island,0.16637028,0.261298598,0.136958402
RARRES1,5'UTR-island,0.061305228,0.000981808,0.136958402
,IGR-opensea,0.081083232,0.02796505,0.136958402
FSTL4,5'UTR-island,0.08202055,0.020795372,0.136958402
LRPAP1,TSS1500-shore,0.59553583,0.683130807,0.136958402
FAM54B,TSS200-island,0.078122267,0.025242446,0.136958402
MCTP1,Body-shore,0.741433683,0.871778568,0.136958402
SSTR2,1stExon-island,0.136218558,0.203475031,0.136958402
STARD3,5'UTR-opensea,0.859019834,0.935308386,0.136958402
SNRNP200,Body-opensea,0.844105214,0.790894091,0.136958402
ADM2,5'UTR-island,0.969893931,0.903552996,0.136958402
ICMT,TSS1500-shore,0.708589677,0.768766067,0.136958402
ATP1B3,TSS200-island,0.076279033,0.0052597,0.136958402
IL17D,Body-opensea,0.09160606,0.040062921,0.136958402
HSPG2,Body-shore,0.725753914,0.645698188,0.136958402
TNXB,Body-shelf,0.618039762,0.732874906,0.136958402
,IGR-opensea,0.799428211,0.938838872,0.136958402
,IGR-island,0.941655507,0.899953069,0.136958402
UBA52,TSS1500-shore,0.176731447,0.102416171,0.136958402
SPRN,Body-island,0.079665468,0.003197374,0.136958402
,IGR-shelf,0.709479403,0.749103255,0.136958402
MOG,Body-opensea,0.664545105,0.761226818,0.136958402
GPT,TSS200-shore,0.192138866,0.248450276,0.136958402
USP2,1stExon-island,0.080168225,0.006704444,0.136958402
RPTOR,Body-opensea,0.947307891,0.858626749,0.136958402
PKP3,Body-island,0.082142195,0.002605594,0.136958402
LTBP3,1stExon-island,0.095293369,0.029744602,0.136958402
IMPDH1,1stExon-island,0.074896999,0.013944738,0.136958402
,IGR-shore,0.88009177,0.942684546,0.136958402
ANKRD53,1stExon-island,0.116110958,0.016749991,0.136958402
CNO,1stExon-island,0.066062441,0.010379047,0.136958402
CYBA,TSS1500-shore,0.985195994,0.942634403,0.136958402
PDIA5,Body-opensea,0.759717906,0.884140433,0.136958402
,IGR-shore,0.245095914,0.169292911,0.136958402
,IGR-shore,0.635146685,0.55400362,0.136958402
SYNPO,Body-shore,0.873803133,0.922955424,0.136958402
GJA5,TSS200-opensea,0.599308475,0.533164688,0.136958402
,IGR-opensea,0.988446349,0.942250137,0.136958402
TTC7B,Body-opensea,0.218811679,0.358481222,0.136958402
,IGR-island,0.059478483,0.011231251,0.136958402
HPDL,TSS200-island,0.068337416,0.000408436,0.136958402
SNORD37,TSS200-shore,0.789678264,0.845069025,0.136958402
ASB13,Body-island,0.06339822,0.014404049,0.136958402
FAM171A2,Body-island,0.996007826,0.954517129,0.136958402
COASY,TSS200-shore,0.062302658,0.019097238,0.136958402
ARL16,TSS200-island,0.047792018,0.010362611,0.136958402
,IGR-shore,0.78916583,0.828241246,0.136958402
PFKL,TSS200-island,0.066016147,0.024167929,0.136958402
DFFB,Body-shelf,0.70779328,0.745284821,0.136958402
EIF4EBP3,Body-island,0.111414907,0.000490826,0.136958402
,IGR-opensea,0.097228823,0.021609745,0.136958402
MEGF6,Body-opensea,0.77678897,0.714144487,0.136958402
C10orf114,3'UTR-island,0.062108817,0.012510141,0.136958402
ZNF365,5'UTR-island,0.062294869,0.008377818,0.136958402
RGL3,Body-island,0.981794419,0.892922491,0.136958402
,IGR-opensea,0.857467341,0.924258979,0.136958402
,IGR-shelf,0.847303409,0.891467719,0.136958402
HLA-A,Body-island,0.091594275,0.041450087,0.136958402
,IGR-island,0.20108562,0.039301571,0.136958402
ZNF385A,TSS1500-shore,0.263418122,0.207904757,0.136958402
SULT2B1,TSS200-opensea,0.872829893,0.811357527,0.136958402
GATA5,TSS1500-island,0.112054146,0.067257973,0.136958402
,IGR-opensea,0.593132165,0.474203239,0.136958402
CABP1,1stExon-island,0.037872986,0.000428068,0.136958402
BEND7,Body-shore,0.807344141,0.761636327,0.136958402
SLC5A6,TSS200-island,0.042247316,0.004423376,0.136958402
CHST12,TSS200-island,0.044563996,0.005016668,0.136958402
RAI1,5'UTR-shore,0.144059074,-0.010540538,0.136958402
NKD2,Body-shelf,0.513458471,0.466544511,0.136958402
SPON1,Body-opensea,0.528247967,0.642499856,0.136958402
,IGR-opensea,0.359395474,0.461659742,0.136958402
MYO15A,Body-island,0.868686531,0.810176034,0.136958402
SEMA3B,Body-island,0.069140095,0.011892427,0.136958402
,IGR-shelf,0.754995347,0.813441336,0.136958402
,IGR-opensea,0.134776182,0.072870517,0.136958402
LOC285419,TSS1500-opensea,0.654782722,0.808144492,0.136958402
CHST15,TSS200-shelf,0.84156572,0.780889879,0.136958402
HMHA1,Body-shore,0.995013833,0.953000195,0.136958402
EVC2,5'UTR-island,0.079665885,0.007254916,0.136958402
KCNQ1DN,TSS200-island,0.424428475,0.486230188,0.136958402
,IGR-island,0.075984273,0.026350706,0.136958402
H2AFV,TSS200-island,0.062620794,0.015342896,0.136958402
SFI1,3'UTR-opensea,0.802438272,0.860410673,0.136958402
TACC1,5'UTR-opensea,0.834488909,0.760698252,0.136958402
AGRN,Body-shore,0.905529674,0.864403594,0.136958402
C7orf50,Body-island,0.105184349,0.021234074,0.136958402
MACROD1,Body-shelf,0.707962903,0.66245034,0.136958402
NEK6,5'UTR-opensea,0.87810652,0.794214238,0.136958402
ZP2,Body-opensea,0.744423937,0.64765488,0.136958402
,IGR-opensea,0.049122635,0.130491535,0.136958402
MEGF6,Body-shelf,0.787572729,0.708559508,0.136958402
NANP,1stExon-island,0.058484399,0.006777957,0.136958402
,IGR-island,0.101518878,-0.002568579,0.136958402
C6orf94,Body-opensea,0.658714443,0.715925589,0.136958402
,IGR-shelf,0.663258614,0.591308654,0.136958402
CDK5R1,Body-island,0.989206852,0.946407374,0.136958402
SLC26A9,Body-opensea,0.035499191,0.117020523,0.136958402
SPATA2L,Body-shelf,0.996572493,0.945581857,0.136958402
WDR51A,Body-opensea,0.728232429,0.674624067,0.136958402
RARG,1stExon-island,0.107756036,0.006373743,0.136958402
CHST15,Body-shelf,0.875255957,0.821005326,0.136958402
